A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
91,177.10999833735784,1.0,0.32090213484136987,302.11530333642503,1.5,0.10588362815428766,71.70868960067943,10.0,0.9272635945715506,30.839737835242637,1.0,0.6162227987798192,58.214439416259815,10.0,0.8182386361015075,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
76,170.22234059629486,10.0,0.28316896457163915,316.0278449416903,1.0,0.07117510504889488,281.6745099153137,1.0,0.6055038472922217,320.2025385002856,10.0,0.00395669419019686,188.54525611761244,1.0,0.40238281141850685,2.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,policy 0,dikesnet
50,166.10673740296102,1.5,0.288242296791657,254.10797656749196,1.5,0.14544790329655494,316.3234351139317,10.0,0.772569675315295,32.969680444284016,1.0,0.6232728541785564,221.45233853912802,10.0,0.4453641720727308,1.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,policy 0,dikesnet
100,273.3948357970846,1.0,0.6474561489569491,225.86030890258684,1.5,0.43151230940420865,247.08172993161423,1.0,0.9931518516939453,161.57514545768623,1.0,0.988723271140947,289.4014439226265,1.0,0.7681029240341936,1.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,policy 0,dikesnet
58,184.32853375320977,1.5,0.5203632687966054,249.5532577680183,1.5,0.254126639511325,250.58270595195972,10.0,0.6619892453714153,325.4422006485224,1.5,0.9867271976681565,277.9879392761859,1.5,0.959337319679378,3.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,policy 0,dikesnet
75,51.057034427690084,10.0,0.9093843182273945,321.4065295067306,1.0,0.2869344534760062,276.30706513646123,1.0,0.028608464000428588,155.2614496568802,10.0,0.7258431765054629,158.22214681029936,10.0,0.6233917467735446,4.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,policy 0,dikesnet
72,202.74355562617973,10.0,0.8728398983627114,232.3238548346515,1.5,0.8970863800803297,296.5528177374143,10.0,0.6813799092814365,153.80577486033536,1.5,0.3675625584412035,158.76730340928347,10.0,0.8704245138860938,2.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,policy 0,dikesnet
55,195.43387215971717,1.0,0.6091302667740405,128.73700509696022,1.0,0.2491227828595503,135.04030625137108,1.0,0.2308815099528542,62.04855713889749,10.0,0.4664150078717497,271.6513969456536,10.0,0.8038277657416264,2.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,policy 0,dikesnet
120,148.63579770685342,1.5,0.4136074709664111,296.738016567995,10.0,0.31325973611953944,323.31105921660657,1.5,0.1461039285194806,332.3739655166206,1.5,0.056769310838767094,42.707416193723574,1.0,0.04403984726437464,4.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,policy 0,dikesnet
125,269.8934657331111,1.0,0.5728071807115596,175.0880305993667,1.5,0.9466140850428308,257.9731015301528,10.0,0.057239157338817286,238.64653276716882,1.0,0.5797016920731393,172.0850112054337,10.0,0.2887037091444127,1.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,policy 0,dikesnet
21,124.98513443078046,10.0,0.9649978687761532,30.419550014732433,1.0,0.0965149414447793,287.1825967213097,10.0,0.9923023869693811,187.11999818225087,10.0,0.9520153092652692,93.37196263026607,1.0,0.587190317566324,2.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,policy 0,dikesnet
70,316.40748471414577,1.0,0.31300207883934317,217.81117357559162,10.0,0.14722730623120817,113.01687430430094,1.5,0.15587462693597592,167.71322095816166,1.0,0.29357584780563006,80.22710454740269,10.0,0.23748444283875128,4.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,policy 0,dikesnet
44,80.07344052098252,1.5,0.6762495514601671,235.72238623588493,1.0,0.13502892506871705,192.35213101702016,1.0,0.19276722866407248,307.85024539585913,10.0,0.10543496925717988,158.62185028354583,1.0,0.7802662659778896,4.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,policy 0,dikesnet
27,290.03673118107804,1.0,0.4586536051468615,55.12233134558461,1.5,0.06766934641278755,229.53475607465805,1.5,0.9626743508150737,84.47429520896154,10.0,0.46152155026281233,318.5879456797762,10.0,0.06446452541036733,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,policy 0,dikesnet
94,217.89509801474742,10.0,0.08461773014741593,197.29413257798768,1.5,0.8727099109355793,311.52447357114147,1.0,0.9832398203338445,232.97635825784172,1.0,0.899342175854755,200.20373182257063,1.0,0.8061418770989042,1.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,policy 0,dikesnet
53,149.18765638797703,1.5,0.7955985717873368,255.21385715344167,1.0,0.6327823402774355,117.1929468456601,1.5,0.7739847266749994,217.2462317951366,10.0,0.27907620309575254,117.66897955998829,1.5,0.2189217808708631,2.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,policy 0,dikesnet
109,235.26851272018502,1.0,0.05799308594105513,45.00665257757468,1.0,0.5473549312644937,348.1856114768033,10.0,0.5475417064200913,285.7100453839604,1.0,0.34005877038933746,251.7494525220333,1.5,0.18413664934378712,2.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,policy 0,dikesnet
124,311.74076411828037,1.0,0.8239100258763219,264.2624213469916,1.0,0.8934500295390506,81.22808630856579,10.0,0.9951853132988301,266.2823190686959,1.5,0.7046463449993227,212.63955371629478,10.0,0.9998009282079305,3.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,policy 0,dikesnet
37,79.10210074577027,10.0,0.6722228928669678,159.96642891347813,1.5,0.4257914422685663,156.64589893657575,1.5,0.006925809995863364,180.03477127998153,1.0,0.49762557935029256,281.28295605599374,10.0,0.09924119152404973,3.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,policy 0,dikesnet
86,309.9218138116755,10.0,0.6494143666181216,285.0554525630728,1.0,0.5727270825337333,138.47262155066264,1.0,0.7571783685987692,99.53667730265792,10.0,0.537913327679766,332.96960947033887,10.0,0.09005212395383556,2.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,policy 0,dikesnet
68,38.54142026435709,1.5,0.11406358546949366,163.18815700252497,1.0,0.042281883593970594,109.84499530904804,10.0,0.34653784810170807,71.57907272436339,10.0,0.08882824621968449,285.4506039355523,10.0,0.3020483470978541,1.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,policy 0,dikesnet
36,343.84280047591886,10.0,0.02796358693038787,248.14891611325592,10.0,0.18871970476768946,323.68822710432426,1.0,0.13868183552867003,38.197769847121855,1.5,0.9255486195920707,171.39596923417926,1.0,0.421145942174797,1.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,policy 0,dikesnet
24,149.08014347697676,10.0,0.28985022883169914,241.80880142923314,10.0,0.694161164312545,127.06586012396407,10.0,0.7812142591692312,99.75644375759413,10.0,0.7157889906853501,65.9484141352448,10.0,0.9947132554879284,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,policy 0,dikesnet
117,233.69811489636749,1.5,0.9739109208515807,188.7715192674303,10.0,0.8634943525739509,260.6869851838769,1.0,0.8802430230975279,129.3235463688933,1.5,0.09143311684572762,111.74960848919531,10.0,0.6656406708518057,2.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,policy 0,dikesnet
128,146.0364703728775,1.0,0.49549173434719884,288.8012236975979,1.0,0.9563923191331419,228.74827747067374,1.0,0.35643349159953025,140.11382434599813,10.0,0.6540815587698784,233.1851317343764,10.0,0.1353156635172165,4.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,policy 0,dikesnet
126,86.90645085498174,1.0,0.7464341885410939,42.139151482968806,1.0,0.6103729546328459,202.2255797066535,1.0,0.07020594643519441,251.77896840521893,1.5,0.4482558993566731,93.63212222328352,1.0,0.6804690873764959,1.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,policy 0,dikesnet
63,305.5183373500565,1.5,0.2468990793019335,243.65615470532592,10.0,0.8576257077728845,127.83723043704003,10.0,0.21805180065099117,246.0328328890574,1.5,0.21388036491970405,34.859311075149826,1.0,0.40980799082948666,4.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,policy 0,dikesnet
3,260.92475319829407,1.0,0.11968158436771514,103.49131547747915,1.5,0.4805605951047622,326.6885215498349,10.0,0.020236715903985417,253.05003377948267,1.5,0.3643217298832572,56.21342774027935,1.0,0.3003691549217774,4.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,policy 0,dikesnet
96,314.36775815009287,1.5,0.29012459539311125,175.1391299688595,10.0,0.9202052539361336,119.89741608836246,1.0,0.35392628906877405,326.4715928224017,1.0,0.2289452661288225,118.81393167390692,1.5,0.25897502232612357,3.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,policy 0,dikesnet
92,231.5505901919991,10.0,0.34796973575903883,100.13109889799058,1.0,0.7011788700233782,197.82750307993888,10.0,0.42783618326655276,282.2463631339204,10.0,0.5951474263848846,144.89557723285594,1.5,0.7261129864881307,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,policy 0,dikesnet
125,62.122876436910495,10.0,0.00961860128971771,309.55747692086254,10.0,0.859988234210754,71.44896171892232,10.0,0.23601977093568946,287.2670099741471,10.0,0.17405359793250888,284.21466387236444,1.0,0.5745586840030498,4.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,policy 0,dikesnet
90,115.50645036148039,1.5,0.777313702785445,309.4092102915297,1.0,0.4399158586598787,344.24556893661867,1.0,0.6622249510728176,57.24870924184188,1.0,0.3248120954390981,193.92687545404226,1.0,0.00795036499520292,2.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,policy 0,dikesnet
25,192.46237989809146,1.5,0.5624507866214371,51.9441927484699,10.0,0.012991450657047519,130.11791544515643,1.0,0.548882924666393,210.45087567265546,1.5,0.6797181773475216,284.36822281602747,1.0,0.16578982317611607,1.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,policy 0,dikesnet
126,264.8601680705992,1.0,0.9095791874513903,150.04945716603586,1.5,0.915218982075323,46.30018411968831,1.0,0.2960822273164894,183.498105180938,10.0,0.22424342507557224,71.20315425094373,1.0,0.32927237540278465,2.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,policy 0,dikesnet
91,105.05746343753368,10.0,0.7263519171742929,85.20994707857183,1.0,0.9034444586950108,174.26455462521938,1.5,0.8727774779493387,157.73228876387503,10.0,0.6259204018376143,321.0905040928459,1.0,0.6753496648142617,3.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,policy 0,dikesnet
78,242.85801290734832,1.5,0.9100295085034616,192.82307696224748,1.0,0.7641911482174935,221.87423524015543,1.0,0.6332111510891126,40.84384957223966,1.0,0.2984634352960631,278.26599960808886,10.0,0.4767062908158801,2.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,policy 0,dikesnet
91,303.7905765028077,1.0,0.37004314025452323,74.57615627372954,1.0,0.5589795917269469,332.36346225443936,10.0,0.30388616380272543,88.01605098419853,1.5,0.716959118621674,69.42519365854189,1.5,0.6616071500447631,2.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,policy 0,dikesnet
95,106.52803922105883,1.5,0.17352891095964984,165.86753498370908,1.0,0.12392322767494855,217.34775968151536,1.5,0.3588665638828376,33.18018240479995,1.0,0.13645221529044316,299.0489337508093,1.0,0.9750800758696516,2.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,policy 0,dikesnet
125,59.165169510844095,1.5,0.19004514393973485,284.2760181719297,1.5,0.3655877478195238,303.63498954027887,1.0,0.02970920157799368,206.2611244088189,1.5,0.2915191425023994,221.18707332159147,1.5,0.9112571953766251,1.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,policy 0,dikesnet
11,274.41080738223945,1.0,0.36161356758516033,77.69877118447725,10.0,0.7029078879865579,93.49873686698675,1.0,0.23540069790373078,115.61699774953689,1.5,0.6636980414795217,77.95911005788017,1.5,0.11865854415898033,3.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,policy 0,dikesnet
